reviewerId,text,rate,publishedAtDate,isLocalGuide,placeId
117926306477909639375,,5,2025-03-09T16:53:00.554Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
102376031311773452352,"Suka bgt nongkrong disini kalo pulang ngajar, suasananya santai dan nyaman. Over all makanan dan minumannya juga Topp👍🏻👍🏻👍🏻",5,2025-03-07T03:01:47.943Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
112244952392636592951,Recomended untuk ropang srikaya.... Tempatnya luas. Ropang nya enak,5,2025-01-24T12:52:25.810Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
103594648128799543900,"Pertama kalinya ke Belikopi, harga terjangkau, beli paket combo special 17k sudah dapat kopi dengan roti, rasa kopinya pas dan rotinya enak. Next pengen coba variant yang lain di Belikopi.",5,2025-01-09T15:04:30.417Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
106466016402248638077,,5,2024-12-13T14:18:03.949Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
110562275357171232704,"ga ekspek makanannya enakk, first time coba dan pengen coba lagi, cuman jarak agak jauh jadi magerrr, enak guysss cobainnn😻 cuman tempatnya aja aga sempit",5,2024-12-09T21:36:09.751Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
102443925123681669281,"pergantian sift terlalu lama kaa
harus di perbaiki sistem siftnya🥰terimakasih",3,2024-12-09T05:49:58.367Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
105800537371794355756,,1,2024-11-28T14:51:24.735Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
110925967887321601933,,5,2024-11-25T04:26:44.761Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
101135756623135429559,,5,2024-11-23T16:27:04.142Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
110997312348312553082,,5,2024-11-20T05:32:55.336Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
112074189531932170491,,5,2024-11-15T11:45:19.121Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
106617745297327393604,Ngopi dengan budget standart,5,2024-11-10T15:28:09.493Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
104915475040631339126,"Masak mau pesen ditolak gara2 orderan rame , pdhl klo disuruh nunggu juga mau. Tapi ini ditolak😐😐😐😐",1,2024-11-08T04:26:47.791Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
108023506610874003528,"uda tau ada org minum masi aja pelayannya nyapu, apa gak beterbangan tu debu, ya tau si kalo kalian emg mau tutup terus kitanya masih belom pulang, tapi kita belom ngelewati jam tutup kalian, bukannya di google tertera tutup jam 22.00 ya, kita aka masih jam 21.36, minimal kalo mau ngusir pake kesopanan samperin baik"" kayak di cafe"" lain kalo mau tutup tu bilang bukan malah musiknya dibanterin sambil nyapu, uda pelayannya bau ketek lagi, minimal pake deodoran",1,2024-11-07T00:44:22.061Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
111003753009668499757,"makanannya enak ,sayangnya kurang pelayanan yg cepet,kayanya butuh satu pegawai lagi",4,2024-11-05T13:03:56.668Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
108214736477125155250,"Terlalu lama prosesnya,masih nunggu driver dateng untuk memprosesnya,padahal sebelum dapet driver pesanannya masuk duluan keresto,tolong bedakan driver sama pembeli",1,2024-11-02T06:26:30.446Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
104521898916411386150,,5,2024-11-01T17:26:10.936Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
114267577164447070156,"Nyaman tempatnya, dingin sejuk... Banyak menunya roppangnya juga enak",5,2024-10-23T13:51:39.823Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
100615880442730375624,"Minuman beragam,rasa enak sesuai dengan harga, tempat bersih",5,2024-10-21T04:02:21.997Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
100777781938753111401,"Merugikan driver, karyawan kurang teliti
Kebanyakan bercanda karyawan",1,2024-10-19T14:44:59.467Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
103703881630029366612,,5,2024-10-18T11:34:21.565Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
104192068343085503988,,5,2024-10-18T03:05:45.575Z,TRUE,ChIJu6CAsySV1i0RO4xpcDW5DSs
112525454350636975615,,1,2024-10-17T08:30:22.699Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
115060945827290933367,,5,2024-10-12T02:10:56.581Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
113413948240421039801,,5,2024-10-02T23:52:59.057Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
117069576869929538132,"pesen ropang coklat apa di kasihnya chesee,di buat nunggu aga lama lg",2,2024-10-02T10:52:07.261Z,FALSE,ChIJu6CAsySV1i0RO4xpcDW5DSs
116291882945779399818,"best coffee in town😍
wajib cobain omakase kalo kesini hihi",5,2025-10-30T13:22:12.550Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
111706093452941008796,"Dapet rekomendasi teman utk mencoba coffeeshop ini. Dan inilah orderan pertamaku with ""Four shots of focus"".",5,2025-10-26T04:41:47.524Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
106072251233972117777,oke joz,5,2025-08-05T14:59:19.658Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
113484990977716712144,,5,2025-07-15T01:38:40.040Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
104502430802045149312,pokoknya ngopi di rangkum enjoyyyy parah,5,2025-07-01T16:06:48.031Z,FALSE,ChIJgaSgQQKV1i0RNTHcruo-0ag
102239622414540838289,"Kopinya enak...sayang ruang indoor kecil..better take away sih.
Kalo beruntung bakal dapet duduk indoor...
Tapi biasanya outdoorpun penuh karena kursi juga gak begitu banyak.",4,2025-06-11T17:52:36.030Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
115741665588956803860,"pelayanan baik, menunya juga enak”",5,2025-06-11T14:29:24.983Z,FALSE,ChIJgaSgQQKV1i0RNTHcruo-0ag
105737055095365358921,,5,2025-06-08T07:34:13.004Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
110848833137563114687,,5,2025-05-18T18:09:08.991Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
102152496075201490143,saya pernah kesini waktu itu dan saya bertemu barista yang tamvan jir :V,5,2025-04-10T08:21:25.373Z,FALSE,ChIJgaSgQQKV1i0RNTHcruo-0ag
101105604139746419487,"Best coffee shop in Jember, coffee based atau non coffee nya enak semua. Juga mixology nya gak ada obat.
Mesen menu karo merem lak enak kabeh, entek seng zonk.",5,2025-01-24T16:02:56.167Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
115319464492459347191,Keren kali ! Kopi nya mantap.. 😊,4,2025-01-22T12:16:55.865Z,FALSE,ChIJgaSgQQKV1i0RNTHcruo-0ag
110993481275262776856,"The taste of coffee is good, I really recommend trying the summerpresso, especially if you like those who want several flavors, you can order omakase and this can choose whether you want sour, bitter, aromatic mixed espresso and this uses arabica coffee beans
And it's nice that there is this place in Jember

Noted : Orders include magic latte, summerpresso, cotton poison and of course omakase.",5,2025-01-22T12:14:24.904Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
112464001332775967146,,4,2024-12-24T03:39:47.439Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
113280400845068286176,"i love the English breakfast hereee, cz first of all the smell of the food! if the food smeellll so good tht's mean the food r fckn delicious, u know wht i meann... if u to lazy go there but still want to order? dw, u can use bangjek (might be available on gofood after this :D)
yall hv to try it! ready on friday, saturday and sunday 8-11 am 🫶🏻",5,2024-10-27T03:28:56.396Z,FALSE,ChIJgaSgQQKV1i0RNTHcruo-0ag
117932845251670644832,Ready to breakfast,5,2024-10-27T01:51:25.334Z,FALSE,ChIJgaSgQQKV1i0RNTHcruo-0ag
103603810963048557164,"Tempat agak sempit.
Namun cukup nyaman.
The best cofee di Jember.",5,2024-10-06T15:28:08.430Z,TRUE,ChIJgaSgQQKV1i0RNTHcruo-0ag
106171393409194218052,"Tempatnya chill, homey, ramah banget top pokoknya",5,2024-09-10T05:59:34.139Z,FALSE,ChIJgaSgQQKV1i0RNTHcruo-0ag
